icao;airport
KFOD;Fort Dodge Regional Airport
KFOE;Topeka Regional Airport
KFOK;Francis S. Gabreski Airport
KFOM;Fillmore Municipal Airport
KFPR;St. Lucie County International Airport
KFRG;Republic Airport
KFRH;French Lick Municipal Airport
KFRI;Marshall Army Airfield
KFRM;Fairmont Municipal Airport
KFRR;Front Royal-Warren County Airport
KFSD;Sioux Falls Regional Airport (Joe Foss Field)
KFSI;Henry Post Army Airfield (Fort Sill)
KFSK;Fort Scott Municipal Airport
KFSM;Fort Smith Regional Airport
KFST;Fort Stockton-Pecos County Airport
KFSU;Fort Sumner Municipal Airport
KFSW;Fort Madison Municipal Airport
KFTK;Godman Army Airfield
KFTW;Fort Worth Meacham International Airport
KFTY;Fulton County Airport (Charlie Brown Field)
KFUL;Fullerton Municipal Airport
KFVE;Northern Aroostook Regional Airport
KFWA;Fort Wayne International Airport
KFXE;Fort Lauderdale Executive Airport
KFXY;Forest City Municipal Airport
KFYM;Fayetteville Municipal Airport
KFYV;Drake Field (Fayetteville Executive Airport)
KGAB;Gabbs Airport
KGAD;Northeast Alabama Regional Airport
KGAG;Gage Airport
KGAI;Montgomery County Airpark
KGBD;Great Bend Municipal Airport
KGBG;Galesburg Municipal Airport
KGBR;Walter J. Koladza Airport
KGCC;Gillette-Campbell County Airport
KGCD;Grant County Regional Airport (Ogilvie Field)
KGCK;Garden City Regional Airport
KGCN;Grand Canyon National Park Airport
KGCY;Greeneville-Greene County Municipal Airport
KGDM;Gardner Municipal Airport
KGDV;Dawson Community Airport
KGDW;Gladwin Zettel Memorial Airport
KGED;Delaware Coastal Airport
KGEG;Spokane International Airport
KGEY;South Big Horn County Airport
KGFD;Pope Field
KGFK;Grand Forks International Airport
KGFL;Floyd Bennett Memorial Airport
KGGE;Georgetown County Airport
KGGG;East Texas Regional Airport
KGGW;Glasgow Airport (Wokal Field)
KGHM;Centerville Municipal Airport
KGIC;Idaho County Airport
KGIF;Winter Haven's Gilbert Airport
KGJT;Grand Junction Regional Airport (Walker Field)
KGKJ;Port Meadville Airport
KGKT;Gatlinburg-Pigeon Forge Airport
KGLD;Goodland Municipal Airport (Renner Field)
KGLE;Gainesville Municipal Airport
KGLH;Mid-Delta Regional Airport
KGLR;Gaylord Regional Airport
KGLS;Scholes International Airport at Galveston
KGLW;Glasgow Municipal Airport
KGMU;Greenville Downtown Airport
KGNG;Gooding Municipal Airport
KGNT;Grants-Milan Municipal Airport
KGNV;Gainesville Regional Airport
KGOK;Guthrie-Edmond Regional Airport
KGON;Groton-New London Airport
KGPI;Glacier Park International Airport
KGPT;Gulfport-Biloxi International Airport
KGPZ;Grand Rapids-Itasca County Airport (Gordon Newstrom Field)
KGQQ;Galion Municipal Airport
KGRB;Austin Straubel International Airport
KGRD;Greenwood County Airport
KGRE;Greenville Airport
KGRF;Gray Army Airfield
KGRI;Central Nebraska Regional Airport
KGRK;Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield
KGRN;Gordon Municipal Airport
KGRR;Gerald R. Ford International Airport
KGSB;Seymour Johnson Air Force Base
KGSH;Goshen Municipal Airport
KGSO;Piedmont Triad International Airport
KGSP;Greenville-Spartanburg International Airport
KGTF;Great Falls International Airport
KGTG;Grantsburg Municipal Airport
KGTR;Golden Triangle Regional Airport
KGUC;Gunnison-Crested Butte Regional Airport
KGUP;Gallup Municipal Airport
KGUS;Grissom Air Reserve Base
KGUY;Guymon Municipal Airport
KGVE;Gordonsville Municipal Airport
KGVL;Lee Gilmer Memorial Airport
KGVT;Majors Airport
KGWO;Greenwood-Leflore Airport
KGWS;Glenwood Springs Municipal Airport
KGXY;Greeley-Weld County Airport
KGYH;Donaldson Center Airport
KGYI;North Texas Regional Airport
KGYR;Phoenix Goodyear Airport
KHAB;Marion County - Rankin Fite Airport
KHAF;Half Moon Bay Airport
KHAI;Three Rivers Municipal Airport (Dr. Haines Flying Field)
KHAO;Butler County Regional Airport
KHBG;Hattiesburg Bobby L. Chain Municipal Airport
KHBR;Hobart Regional Airport
KHDE;Brewster Field
KHDN;Yampa Valley Airport
KHEE;Thompson-Robbins Airport
KHEF;Manassas Regional Airport
KHEZ;Natchez-Adams County Airport (Hardy-Anders Field)
KHFD;Hartford-Brainard Airport
KHFF;Mackall Army Airfield
KHGR;Hagerstown Regional Airport (Richard A. Henson Field)
KHHR;Hawthorne Municipal Airport (Jack Northrop Field)
KHHW;Stan Stamper Municipal Airport
KHIB;Range Regional Airport
KHIE;Mount Washington Regional Airport
KHIF;Hill Air Force Base
KHII;Lake Havasu City Airport
KHIO;Hillsboro Airport (Portland-Hillsboro Airport)
KHKA;Blytheville Municipal Airport
KHKS;Hawkins Field
KHKY;Hickory Regional Airport
KHLB;Hillenbrand Industries Airport
KHLC;Hill City Municipal Airport
KHLG;Wheeling Ohio County Airport
KHLM;Park Township Airport
KHLN;Helena Regional Airport
KHLR;Hood Army Airfield
KHMN;Holloman Air Force Base
KHMT;Hemet-Ryan Airport
KHNB;Huntingburg Airport
KHND;Henderson Executive Airport
KHOB;Lea County Regional Airport
KHON;Huron Regional Airport
KHOP;Campbell Army Airfield
KHOT;Memorial Field Airport
KHOU;William P. Hobby Airport
KHPN;Westchester County Airport
KHPT;Hampton Municipal Airport
KHPY;Baytown Airport
KHQM;Bowerman Airport
KHRI;Hermiston Municipal Airport
KHRL;Valley International Airport
KHRO;Boone County Airport
KHSB;Harrisburg-Raleigh Airport
KHSE;Billy Mitchell Airport
KHSI;Hastings Municipal Airport
KHSP;Ingalls Field
KHST;Homestead Air Reserve Base
KHSV;Huntsville International Airport (Carl T. Jones Field)
KHTH;Hawthorne Industrial Airport
KHTL;Roscommon County-Blodgett Memorial Airport
KHTO;East Hampton Airport
KHTS;Tri-State Airport (Milton J. Ferguson Field)
KHTW;Lawrence County Airpark
KHUA;Redstone Army Airfield
KHUL;Houlton International Airport
KHUM;Houma-Terrebonne Airport
KHUT;Hutchinson Municipal Airport
KHVE;Hanksville Airport
KHVN;Tweed New Haven Airport
KHVR;Havre City-County Airport
KHVS;Hartsville Regional Airport
KHWD;Hayward Executive Airport
KHWO;North Perry Airport
KHWV;Brookhaven Airport
KHXD;Hilton Head Airport
KHYA;Barnstable Municipal Airport (Boardman/Polando Field)
KHYR;Sawyer County Airport
KHYS;Hays Regional Airport
KHZL;Hazleton Municipal Airport
KHZY;Northeast Ohio Regional Airport
KIAB;McConnell Air Force Base
KIAD;Washington Dulles International Airport
KIAG;Niagara Falls International Airport
KIAH;George Bush Intercontinental Airport
KICL;Schenck Field
KICT;Wichita Dwight D. Eisenhower National Airport
KIDA;Idaho Falls Regional Airport
KIDG;Ida Grove Municipal Airport
KIDI;Indiana County-Jimmy Stewart Airport
KIDP;Independence Municipal Airport
KIEN;Pine Ridge Airport
KIFA;Iowa Falls Municipal Airport
KIFP;Laughlin/Bullhead International Airport
KIGM;Kingman Airport
KIJX;Jacksonville Municipal Airport
KIKK;Greater Kankakee Airport
KILE;Skylark Field
KILG;Wilmington Airport (New Castle Airport)
KILM;Wilmington International Airport
KILN;Wilmington Air Park
KIML;Imperial Municipal Airport
KIMM;Immokalee Regional Airport
KIMS;Madison Municipal Airport
KIMT;Ford Airport
KIND;Indianapolis International Airport
KINK;Winkler County Airport
KINL;Falls International Airport
KINS;Creech Air Force Base
KINT;Smith Reynolds Airport
KINW;Winslow-Lindbergh Regional Airport
KIOW;Iowa City Municipal Airport
KIPL;Imperial County Airport (Boley Field)
KIPT;Williamsport Regional Airport
KIRK;Kirksville Regional Airport
KIRS;Kirsch Municipal Airport
KISM;Kissimmee Gateway Airport
KISN;Sloulin Field International Airport
KISO;Kinston Regional Jetport (Stallings Field)
KISP;Long Island MacArthur Airport
KISQ;Schoolcraft County Airport
KISW;South Wood County Airport (Alexander Field)
KITH;Ithaca Tompkins Regional Airport
KIWA;Phoenix-Mesa Gateway Airport
KIWD;Gogebic-Iron County Airport
KIWI;Wiscasset Airport
KIWS;West Houston Airport
KIXD;New Century AirCenter
KIYK;Inyokern Airport
KIZA;Santa Ynez Airport
KIZG;Eastern Slopes Regional Airport
KJAC;Jackson Hole Airport
KJAN;Jackson-Evers International Airport
KJAS;Jasper County Airport (Bell Field)
KJAX;Jacksonville International Airport
KJBR;Jonesboro Municipal Airport
KJCT;Kimble County Airport
KJDN;Jordan Airport
KJEF;Jefferson City Memorial Airport
KJFK;John F. Kennedy International Airport
KJHW;Chautauqua County-Jamestown Airport
KJKA;Jack Edwards Airport
KJLN;Joplin Regional Airport
KJMS;Jamestown Regional Airport
KJOT;Joliet Regional Airport
KJQF;Concord Regional Airport
KJSO;Cherokee County Airport
KJST;John Murtha Johnstown-Cambria County Airport
KJVL;Southern Wisconsin Regional Airport
KJXN;Jackson County Airport (Reynolds Field)
KKIC;Mesa Del Rey Airport
KKLS;Southwest Washington Regional Airport
KKNB;Kanab Municipal Airport
KLAA;Lamar Municipal Airport
KLAF;Purdue University Airport
KLAL;Lakeland Linder International Airport
KLAM;Los Alamos County Airport
KLAN;Capital Region International Airport
KLAR;Laramie Regional Airport
KLAS;Harry Reid International Airport
KLAW;Lawton-Fort Sill Regional Airport
KLAX;Los Angeles International Airport
KLBB;Lubbock Preston Smith International Airport
KLBE;Arnold Palmer Regional Airport
KLBF;North Platte Regional Airport (Lee Bird Field)
KLBL;Liberal Mid-America Regional Airport
KLBT;Lumberton Municipal Airport
KLBX;Texas Gulf Coast Regional Airport
KLCH;Lake Charles Regional Airport
KLCI;Laconia Municipal Airport
KLCK;Rickenbacker International Airport
KLCQ;Lake City Gateway Airport
KLDJ;Linden Airport
KLDM;Mason County Airport
KLEB;Lebanon Municipal Airport
KLEE;Leesburg International Airport
KLEM;Lemmon Municipal Airport
KLEW;Auburn/Lewiston Municipal Airport
KLEX;Blue Grass Airport
KLFI;Langley Air Force Base
KLFK;Angelina County Airport
KLFT;Lafayette Regional Airport
KLGA;LaGuardia Airport
KLGB;Long Beach Airport
KLGC;LaGrange Callaway Airport
KLGD;La Grande/Union County Airport
KLGF;Laguna Army Airfield
KLGU;Logan-Cache Airport
KLHV;William T. Piper Memorial Airport
KLHW;MidCoast Regional Airport at Wright Army Airfield
KLHZ;Triangle North Executive Airport (Franklin County Airport)
KLIC;Limon Municipal Airport
KLIT;Clinton National Airport (Adams Field)
KLKP;Lake Placid Airport
KLKU;Louisa County Airport (Freeman Field)
KLKV;Lake County Airport
KLLJ;Challis Airport
KLMS;Louisville Winston County Airport
KLMT;Klamath Falls Airport
KLNA;Palm Beach County Park Airport
KLND;Hunt Field
KLNK;Lincoln Airport
KLNN;Lost Nation Airport
KLNP;Lonesome Pine Airport
KLNR;Tri-County Regional Airport
KLNS;Lancaster Airport
KLOL;Derby Field
KLOM;Wings Field
KLOT;Lewis University Airport
KLOU;Bowman Field
KLOZ;London-Corbin Airport (Magee Field)
KLPC;Lompoc Airport
KLQK;Pickens County Airport
KLRD;Laredo International Airport
KLRF;Little Rock Air Force Base
KLRJ;Le Mars Municipal Airport
KLRU;Las Cruces International Airport
KLSB;Lordsburg Municipal Airport
KLSE;La Crosse Regional Airport
KLSF;Lawson Army Airfield
KLSK;Lusk Municipal Airport
KLSN;Los Banos Municipal Airport
KLSV;Nellis Air Force Base
KLTS;Altus Air Force Base
KLUF;Luke Air Force Base
KLUK;Cincinnati Municipal Airport (Lunken Field)
KLUL;Hesler-Noble Field
KLVK;Livermore Municipal Airport
KLVL;Lawrenceville/Brunswick Municipal Airport
KLVM;Mission Field
KLVS;Las Vegas Municipal Airport
KLWB;Greenbrier Valley Airport
KLWC;Lawrence Regional Airport
KLWL;Wells Municipal Airport (Harriet Field)
KLWM;Lawrence Municipal Airport
KLWS;Lewiston-Nez Perce County Airport
KLWT;Lewistown Municipal Airport
KLWV;Lawrenceville-Vincennes International Airport
KLXN;Jim Kelly Field
KLXV;Lake County Airport
KLYH;Lynchburg Regional Airport (Preston Glenn Field)
KLYO;Lyons-Rice County Municipal Airport
KLZU;Gwinnett County Airport (Briscoe Field)
KMAC;Macon Downtown Airport
KMAE;Madera Municipal Airport
KMAF;Midland International Air and Space Port
KMAW;Malden Regional Airport
KMBG;Mobridge Municipal Airport
KMBL;Manistee County Blacker Airport
KMBO;Bruce Campbell Field
KMBS;MBS International Airport
KMBY;Omar N. Bradley Airport
KMCB;McComb-Pike County Airport (John E. Lewis Field)
KMCC;McClellan Airfield
KMCD;Mackinac Island Airport
KMCE;Merced Regional Airport (MacReady Field)
KMCF;MacDill Air Force Base
KMCI;Kansas City International Airport
KMCK;McCook Ben Nelson Regional Airport
KMCN;Middle Georgia Regional Airport
KMCO;Orlando International Airport
KMCW;Mason City Municipal Airport
KMDD;Midland Airpark
KMDH;Southern Illinois Airport
KMDS;Madison Municipal Airport
KMDT;Harrisburg International Airport
KMDW;Chicago Midway International Airport
KMDZ;Taylor County Airport
KMEB;Laurinburg-Maxton Airport
KMEI;Meridian Regional Airport (Key Field)
KMEM;Memphis International Airport
KMER;Castle Airport
KMEV;Minden-Tahoe Airport
KMFD;Mansfield Lahm Regional Airport
KMFE;McAllen Miller International Airport
KMFI;Marshfield Municipal Airport
KMFR;Rogue Valley International-Medford Airport
KMFV;Accomack County Airport
KMGC;Michigan City Municipal Airport
KMGE;Dobbins Air Reserve Base
KMGJ;Orange County Airport
KMGM;Montgomery Regional Airport (Dannelly Field)
KMGR;Moultrie Municipal Airport
KMGW;Morgantown Municipal Airport (Walter L. Bill Hart Field)
KMGY;Dayton-Wright Brothers Airport
KMHE;Mitchell Municipal Airport
KMHK;Manhattan Regional Airport
KMHL;Marshall Memorial Municipal Airport
KMHN;Hooker County Airport
KMHR;Sacramento Mather Airport
KMHT;Manchester-Boston Regional Airport
KMHV;Mojave Air and Space Port
KMIA;Miami International Airport
KMIB;Minot Air Force Base
KMIC;Crystal Airport
KMIE;Delaware County Regional Airport
KMIO;Miami Municipal Airport
KMIT;Shafter Airport (Minter Field)
KMIV;Millville Municipal Airport
KMIW;Marshalltown Municipal Airport
KMJQ;Jackson Municipal Airport
KMJX;Robert J. Miller Air Park (Ocean County Airport)
KMKC;Charles B. Wheeler Downtown Airport
KMKE;General Mitchell International Airport
KMKG;Muskegon County Airport
KMKL;McKellar-Sipes Regional Airport
KMKO;Davis Field
KMKT;Mankato Regional Airport
KMKY;Marco Island Airport
KMLB;Orlando Melbourne International Airport
KMLC;McAlester Regional Airport
KMLD;Malad City Airport
KMLE;Millard Airport
KMLF;Milford Municipal Airport (Ben and Judy Briscoe Field)
KMLI;Quad City International Airport
KMLJ;Baldwin County Airport
KMLS;Miles City Airport (Frank Wiley Field)
KMLT;Millinocket Municipal Airport
KMLU;Monroe Regional Airport
KMMH;Mammoth Yosemite Airport
KMMI;McMinn County Airport
KMML;Southwest Minnesota Regional Airport (Marshall/Ryan Field)
KMMS;Selfs Airport
KMMT;McEntire Joint National Guard Base
KMMU;Morristown Municipal Airport
KMNM;Menominee-Marinette Twin County Airport
KMNN;Marion Municipal Airport
KMOB;Mobile Regional Airport
KMOD;Modesto City-County Airport (Harry Sham Field)
KMOP;Mount Pleasant Municipal Airport
KMOR;Morristown Regional Airport (Moore-Murrell Airport)
KMOT;Minot International Airport
KMOX;Morris Municipal Airport
KMPI;Mariposa-Yosemite Airport
KMPJ;Petit Jean Park Airport
KMPO;Pocono Mountains Municipal Airport
KMPR;McPherson Airport
KMPV;Edward F. Knapp State Airport
KMPZ;Mount Pleasant Municipal Airport
KMQB;Macomb Municipal Airport
KMQI;Dare County Regional Airport
KMQS;Chester County G. O. Carlson Airport
KMQW;Telfair-Wheeler Airport
KMQY;Smyrna Airport
KMRB;Eastern WV Regional Airport (Shepherd Field)
KMRC;Maury County Airport
KMRF;Marfa Municipal Airport
KMRN;Foothills Regional Airport (was Morganton-Lenoir Airport)
KMRY;Monterey Regional Airport
KMSL;Northwest Alabama Regional Airport
KMSN;Dane County Regional Airport (Truax Field)
KMSO;Missoula International Airport
KMSP;Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)
KMSS;Massena International Airport (Richards Field)
KMSV;Sullivan County International Airport
KMSY;Louis Armstrong New Orleans International Airport
KMTC;Selfridge Air National Guard Base
KMTH;Florida Keys Marathon Airport
KMTJ;Montrose Regional Airport
KMTN;Martin State Airport
KMTO;Coles County Memorial Airport
KMTP;Montauk Airport
KMTW;Manitowoc County Airport
KMUI;Muir Army Airfield
KMUL;Spence Airport
KMUO;Mountain Home Air Force Base
KMUT;Muscatine Municipal Airport
KMVC;Monroe County Airport
KMVE;Montevideo-Chippewa County Airport
KMVL;Morrisville-Stowe State Airport
KMVN;Mount Vernon Airport
KMVY;Martha's Vineyard Airport
KMWA;Williamson County Regional Airport
KMWC;Lawrence J. Timmerman Airport
KMWH;Grant County International Airport
KMWL;Mineral Wells Airport
KMWM;Windom Municipal Airport
KMWO;Middletown Regional Airport (Hook Field)
KMXA;Manila Municipal Airport
KMXF;Maxwell Air Force Base
KMXO;Monticello Regional Airport
KMYF;Montgomery Field Airport
KMYL;McCall Municipal Airport
KMYR;Myrtle Beach International Airport
KMYV;Yuba County Airport
KMZJ;Pinal Airpark
KMZZ;Marion Municipal Airport
KNBG;NAS JRB New Orleans (Alvin Callender Field)
KNBJ;NOLF Barin
KNDY;Naval Surface Warfare Center Dahlgren Division
KNEL;NAES Lakehurst (Maxfield Field)
KNEN;NOLF Whitehouse
KNEW;Lakefront Airport
KNFL;NAS Fallon (Van Voorhis Field)
KNFW;NAS Fort Worth JRB / Carswell Field
KNGP;NAS Corpus Christi (Truax Field)
KNGU;NS Norfolk (Chambers Field)
KNGW;NOLF Cabaniss Field
KNHK;NAS Patuxent River (Trapnell Field)
KNIP;NAS Jacksonville (Towers Field)
KNJK;NAF El Centro
KNKX;MCAS Miramar
KNLC;NAS Lemoore (Reeves Field)
KNPA;NAS Pensacola (Forrest Sherman Field)
KNQA;Millington Regional Jetport
KNQI;NAS Kingsville
KNQX;NAS Key West (Boca Chica Field)
KNRB;NS Mayport (Admiral David L. McDonald Field)
KNRC;NASA Crows Landing Airport
KNRS;NOLF Imperial Beach (Ream Field)
KNSE;NAS Whiting Field - North
KNTD;NAS Point Mugu (Naval Base Ventura County)
KNTU;NAS Oceana (Apollo Soucek Field)
KNUN;NOLF Saufley Field
KNUQ;Moffett Federal Airfield
KNUW;NAS Whidbey Island (Ault Field)
KNVD;Nevada Municipal Airport
KNYG;MCAF Quantico (Turner Field)
KNYL;Yuma International Airport / MCAS Yuma
KNZY;NAS North Island (Halsey Field)
KOAJ;Albert J. Ellis Airport
KOAK;Oakland International Airport
KOAR;Marina Municipal Airport
KOBE;Okeechobee County Airport
KOCF;Ocala International Airport (Jim Taylor Field)
KOCH;A.L. Mangham Jr. Regional Airport
KOCW;Washington-Warren Airport (Warren Field)
KOEO;L.O. Simenstad Municipal Airport
KOFF;Offutt Air Force Base
KOFK;Norfolk Regional Airport (Karl Stefan Memorial Field)
KOGA;Searle Field
KOGB;Orangeburg Municipal Airport
KOGD;Ogden-Hinckley Airport
KOGS;Ogdensburg International Airport
KOIC;Lt. Warren Eaton Airport
KOJC;Johnson County Executive Airport
KOKB;Oceanside Municipal Airport
KOKC;Will Rogers World Airport
KOKH;A.J. Eisenberg Airport
KOKK;Kokomo Municipal Airport
KOKM;Okmulgee Regional Airport
KOKS;Garden County Airport
KOKV;Winchester Regional Airport
KOLD;Old Town Municipal Airport and Seaplane Base (Dewitt Field)
KOLE;Cattaraugus County-Olean Airport
KOLF;L. M. Clayton Airport
KOLM;Olympia Regional Airport
KOLS;Nogales International Airport
KOLU;Columbus Municipal Airport
KOLV;Olive Branch Airport
KOLY;Olney-Noble Airport
KOMA;Eppley Airfield
KOMK;Omak Airport
KONA;Winona Municipal Airport (Max Conrad Field)
KONL;O'Neill Municipal Airport (John L. Baker Field)
KONM;Socorro Municipal Airport
KONO;Ontario Municipal Airport
KONP;Newport Municipal Airport
KONT;Ontario International Airport
KONY;Olney Municipal Airport
KOOA;Oskaloosa Municipal Airport
KOPF;Miami-Opa Locka Executive Airport
KOPL;St. Landry Parish Airport (Ahart Field)
KOQU;Quonset State Airport
KORD;Chicago O'Hare International Airport
KORF;Norfolk International Airport
KORH;Worcester Regional Airport
KORI;Port Lions Airport
KORL;Orlando Executive Airport
KORS;Orcas Island Airport
KOSA;Mount Pleasant Regional Airport
KOSC;Oscoda-Wurtsmith Airport
KOSH;Wittman Regional Airport
KOSU;Ohio State University Airport
KOSX;Kosciusko-Attala County Airport
KOTG;Worthington Municipal Airport
KOTH;Southwest Oregon Regional Airport
KOTM;Ottumwa Regional Airport
KOUN;University of Oklahoma Westheimer Airport (Max Westheimer Airport)
KOVE;Oroville Municipal Airport
KOWA;Owatonna Degner Regional Airport
KOWB;Owensboro-Daviess County Airport
KOWD;Norwood Memorial Airport
KOWK;Central Maine Airport of Norridgewock
KOXB;Ocean City Municipal Airport
KOXC;Waterbury-Oxford Airport
KOXD;Miami University Airport
KOXR;Oxnard Airport
KOYM;St. Marys Municipal Airport
KOZA;Ozona Municipal Airport
KOZR;Cairns Army Airfield
KPAE;Paine Field (Snohomish County Airport)
KPAH;Barkley Regional Airport
KPAM;Tyndall Air Force Base
KPAN;Payson Airport
KPAO;Palo Alto Airport (Santa Clara County Airport)
KPBF;Grider Field
KPBG;Plattsburgh International Airport
KPBI;Palm Beach International Airport
KPBX;Pike County Airport
KPDC;Prairie du Chien Municipal Airport
KPDK;DeKalb-Peachtree Airport
KPDT;Eastern Oregon Regional Airport
KPDX;Portland International Airport
KPEQ;Pecos Municipal Airport
KPFC;Pacific City State Airport
KPGA;Page Municipal Airport
KPGD;Punta Gorda Airport
KPGR;Kirk Field
KPGV;Pitt-Greenville Airport
KPHD;Harry Clever Field
KPHF;Newport News/Williamsburg International Airport
KPHH;Robert F. Swinnie Airport
KPHK;Palm Beach County Glades Airport
KPHL;Philadelphia International Airport
KPHN;St. Clair County International Airport
KPHP;Philip Airport
KPHT;Henry County Airport
KPHX;Phoenix Sky Harbor International Airport
KPIA;General Wayne A. Downing Peoria International Airport
KPIB;Hattiesburg-Laurel Regional Airport
KPIE;St. Pete-Clearwater International Airport
KPIH;Pocatello Regional Airport
KPIM;Harris County Airport
KPIR;Pierre Regional Airport
KPIT;Pittsburgh International Airport
KPKB;Mid-Ohio Valley Regional Airport
KPKD;Park Rapids Municipal Airport (Konshok Field)
KPKF;Park Falls Municipal Airport
KPLK;M. Graham Clark Downtown Airport
KPLN;Pellston Regional Airport (Emmet County)
KPLR;St. Clair County Airport
KPMB;Pembina Municipal Airport
KPMD;Palmdale Regional Airport
KPMH;Greater Portsmouth Regional Airport
KPMP;Pompano Beach Airpark
KPNA;Ralph Wenz Field
KPNC;Ponca City Regional Airport
KPNE;Northeast Philadelphia Airport
KPNN;Princeton Municipal Airport
KPNS;Pensacola International Airport
KPOB;Pope Field (Pope AFB)
KPOC;Brackett Field
KPOE;Polk Army Airfield
KPOF;Poplar Bluff Municipal Airport
KPOH;Pocahontas Municipal Airport
KPOU;Dutchess County Airport
KPOY;Powell Municipal Airport
KPPA;Perry Lefors Field
KPPF;Tri-City Airport
KPPO;La Porte Municipal Airport
KPQI;Northern Maine Regional Airport at Presque Isle
KPQL;Trent Lott International Airport
KPRB;Paso Robles Municipal Airport
KPRC;Ernest A. Love Field
KPRO;Perry Municipal Airport
KPRX;Cox Field
KPSB;Mid-State Regional Airport
KPSC;Tri-Cities Airport
KPSF;Pittsfield Municipal Airport
KPSK;New River Valley Airport
KPSM;Portsmouth International Airport at Pease
KPSN;Palestine Municipal Airport
KPSO;Stevens Field
KPSP;Palm Springs International Airport
KPSX;Palacios Municipal Airport
KPTB;Dinwiddie County Airport
KPTK;Oakland County International Airport
KPTN;Harry P. Williams Memorial Airport
KPTS;Atkinson Municipal Airport
KPTT;Pratt Regional Airport
KPTV;Porterville Municipal Airport
KPTW;Heritage Field
KPUB;Pueblo Memorial Airport
KPUC;Carbon County Regional Airport
KPUW;Pullman-Moscow Regional Airport
KPVC;Provincetown Municipal Airport
KPVD;Theodore Francis Green State Airport
KPVF;Placerville Airport
KPVG;Hampton Roads Executive Airport
KPVU;Provo Municipal Airport
KPVW;Hale County Airport
KPWA;Wiley Post Airport
KPWD;Sher-Wood Airport
KPWM;Portland International Jetport
KPWT;Bremerton National Airport
KPYM;Plymouth Municipal Airport
KRAC;John H. Batten Airport
KRAL;Riverside Municipal Airport
KRAP;Rapid City Regional Airport
KRBD;Dallas Executive Airport
KRBG;Roseburg Regional Airport
KRBL;Red Bluff Municipal Airport
KRBW;Lowcountry Regional Airport
KRCA;Ellsworth Air Force Base
KRCK;H. H. Coffield Regional Airport
KRCR;Fulton County Airport
KRCT;Nartron Field
KRDD;Redding Municipal Airport
KRDG;Reading Regional Airport (Carl A. Spaatz Field)
KRDM;Roberts Field
KRDR;Grand Forks Air Force Base
KRDU;Raleigh-Durham International Airport
KREO;Rome State Airport
KRFD;Chicago Rockford International Airport
KRFG;Rooke Field
KRHI;Rhinelander-Oneida County Airport
KRHV;Reid-Hillview Airport of Santa Clara County
KRIC;Richmond International Airport
KRID;Richmond Municipal Airport
KRIF;Richfield Municipal Airport
KRIL;Garfield County Regional Airport
KRIR;Flabob Airport
KRIV;March Air Reserve Base
KRIW;Central Wyoming Regional Airport
KRKD;Knox County Regional Airport
KRKP;Aransas County Airport
KRKR;Robert S. Kerr Airport
KRKS;Southwest Wyoming Regional Airport
KRKW;Rockwood Municipal Airport
KRLD;Richland Airport
KRME;Griffiss International Airport
KRMG;Richard B. Russell Airport
KRMN;Stafford Regional Airport
KRNC;Warren County Memorial Airport
KRND;Randolph Air Force Base
KRNH;New Richmond Regional Airport
KRNO;Reno-Tahoe International Airport
KRNT;Renton Municipal Airport
KROA;Roanoke-Blacksburg Regional Airport (Woodrum Field)
KROC;Greater Rochester International Airport
KROG;Rogers Municipal Airport (Carter Field)
KROW;Roswell International Air Center
KROX;Roseau Municipal Airport (Rudy Billberg Field)
KRPD;Rice Lake Regional Airport (Carl's Field)
KRPX;Roundup Airport
KRQB;Roben-Hood Airport
KRRL;Merrill Municipal Airport
KRRT;Warroad International Memorial Airport (Swede Carlson Field)
KRSL;Russell Municipal Airport
KRSN;Ruston Regional Airport
KRST;Rochester International Airport
KRSW;Southwest Florida International Airport
KRTN;Raton Municipal Airport (Crews Field)
KRUQ;Rowan County Airport
KRUT;Rutland - Southern Vermont Regional Airport
KRVL;Mifflin County Airport
KRVS;Richard Lloyd Jones Jr. Airport
KRWF;Redwood Falls Municipal Airport
KRWI;Rocky Mount-Wilson Regional Airport
KRWL;Rawlins Municipal Airport (Harvey Field)
KRXE;Rexburg-Madison County Airport
KRZL;Jasper County Airport
KRZZ;Halifax County Airport
KSAA;Shively Field
KSAC;Sacramento Executive Airport
KSAD;Safford Regional Airport
KSAF;Santa Fe Municipal Airport
KSAN;San Diego International Airport
KSAR;Sparta Community Airport (Hunter Field)
KSAS;Salton Sea Airport
KSAT;San Antonio International Airport
KSAV;Savannah/Hilton Head International Airport
KSAW;Sawyer International Airport
KSBA;Santa Barbara Municipal Airport
KSBD;San Bernardino International Airport
KSBM;Sheboygan County Memorial Airport
KSBN;South Bend International Airport
KSBP;San Luis Obispo County Regional Airport (McChesney Field)
KSBS;Steamboat Springs Airport (Bob Adams Field)
KSBX;Shelby Airport
KSBY;Salisbury-Ocean City-Wicomico Regional Airport
KSCB;Scribner State Airport
KSCH;Schenectady County Airport
KSCK;Stockton Metropolitan Airport
KSDF;Louisville International Airport (Standiford Field)
KSDL;Scottsdale Airport
KSDM;Brown Field Municipal Airport
KSDY;Sidney-Richland Municipal Airport
KSEA;Seattle-Tacoma International Airport
KSEE;Gillespie Field
KSEF;Sebring Regional Airport
KSEG;Penn Valley Airport
KSEM;Craig Field
